locus_tag	ftype	length_bp	gene	EC_number	COG	product
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00191	CDS	396				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00192	CDS	1557	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00193	CDS	369	sipV	3.4.21.89	COG0681	Signal peptidase I V
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00194	CDS	498				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00195	CDS	546				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00196	CDS	870	speE	2.5.1.16		Polyamine aminopropyltransferase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00197	CDS	96				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00198	CDS	231				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00199	CDS	144				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00200	CDS	1053				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00201	CDS	342			COG0718	Nucleoid-associated protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00202	CDS	384	ddl	6.3.2.4		D-alanine--D-alanine ligase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00203	CDS	816	ftsQ			Cell division protein FtsQ
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00204	CDS	609				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00205	CDS	540				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00206	CDS	1143	epsF		COG1459	Type II secretion system protein F
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00207	CDS	441				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00208	CDS	921				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00209	CDS	1104				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00210	CDS	435	rplM		COG0102	50S ribosomal protein L13
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00211	CDS	309				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00212	CDS	1266				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00213	CDS	585				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00214	CDS	117				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00215	CDS	402	ptsI_2	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00216	CDS	2466	leuS	6.1.1.4		Leucine--tRNA ligase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00217	CDS	591				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00218	CDS	384	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00219	CDS	324	trxA			Thioredoxin
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00220	CDS	933	cysK1	2.5.1.47	COG0031	O-acetylserine sulfhydrylase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00221	CDS	1209				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00222	CDS	813				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00223	CDS	276	cysO		COG1977	Sulfur carrier protein CysO
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00224	CDS	225				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00225	CDS	585	bioB_1	2.8.1.6		Biotin synthase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00226	CDS	399	bioB_2	2.8.1.6		Biotin synthase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00227	CDS	1218	bioF	2.3.1.47		8-amino-7-oxononanoate synthase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00228	CDS	423	bioC	2.1.1.197		Malonyl-[acyl-carrier protein] O-methyltransferase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00229	CDS	327				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00230	CDS	219				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00231	CDS	1035				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00232	CDS	252				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00233	CDS	576	fbiB	6.3.2.34		Bifunctional F420 biosynthesis protein FbiB
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00234	CDS	516	rutB	3.5.1.110	COG1335	Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00235	CDS	843				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00236	CDS	816	rplB		COG0090	50S ribosomal protein L2
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00237	CDS	285	rpsS			30S ribosomal protein S19
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00238	CDS	393	rplV		COG0091	50S ribosomal protein L22
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00239	CDS	699	rpsC		COG0092	30S ribosomal protein S3
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00240	CDS	408	rplP		COG0197	50S ribosomal protein L16
